All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:22
Date Period,01/04/2026 - 30/04/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Tote Bage,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,01/10/2025 00:00:00,Unlimited,578945,13605,2.35%,172,115,1.26%,0.85%,14759.54,22075.14,175,116,38759445,27143893,2538641,15.27,10.69,6.55%,9.35%,-,-,-,1120496,9098540
2,Skirt & Pants,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,01/10/2025 00:00:00,Unlimited,210118,4490,2.14%,54,24,1.20%,0.53%,11997.95,26995.39,54,24,10580530,4288043,647889,16.33,6.62,6.12%,15.11%,-,-,-,106262,517450
3,Accesories,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,15/10/2025 00:00:00,Unlimited,197663,2461,1.25%,63,32,2.56%,1.30%,8755.66,17237.71,63,32,6850127,2101858,551607,12.42,3.81,8.05%,26.24%,-,-,-,133953,1028150
4,Tome Ame - Chiyo Boxy Longsleeve Tee,Ongoing,Product Ad,24986823677,-,GMV Max Custom ROAS,All,07/10/2024 00:00:00,Unlimited,3515652,107031,3.04%,1990,1807,1.86%,1.69%,17099.76,18831.51,2028,1845,345115098,310644357,34028530,10.14,9.13,9.86%,10.95%,-,-,-,28800072,159958270
5,Tome Ame - Summer Time Boxy Longsleeve Tee,Ongoing,Product Ad,26119707569,-,GMV Max Custom ROAS,All,05/12/2024 00:00:00,Unlimited,1517045,43695,2.88%,1572,1313,3.60%,3.00%,17703.63,21195.81,1597,1338,273598349,226003710,27830100,9.83,8.12,10.17%,12.31%,-,-,-,17598677,102125330
6,Tome Ame - Ichi Jersey Tee Black [5],Ongoing,Product Ad,18586944287,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,1106750,34499,3.12%,852,767,2.47%,2.22%,10545.03,11713.65,873,788,105874741,90243270,8984367,11.78,10.04,8.49%,9.96%,-,-,-,3525230,25240149
7,Tome Ame - Navy Juno Longsleeve wanita,Ongoing,Product Ad,26013785840,-,GMV Max Custom ROAS,All,21/10/2024 00:00:00,Unlimited,944446,25171,2.67%,530,405,2.11%,1.61%,14715.91,19257.86,539,414,94679760,70835785,7799433,12.14,9.08,8.24%,11.01%,-,-,-,1376899,12162128
8,Tome Ame - Haka Retro Windbreaker Jacket Jaket Winbreaker Wanita [5],Ongoing,Product Ad,23103821267,-,GMV Max Custom ROAS,All,03/07/2024 00:00:00,Unlimited,670723,23670,3.53%,286,230,1.21%,0.97%,14843.93,18458.10,288,231,101081584,90422148,4245364,23.81,21.30,4.20%,4.70%,-,-,-,2656844,25750634
9,Tome Ame - Yujin Longsleeve Lace Pattern - T Shirt Lengan Panjang Motif Renda,Ongoing,Product Ad,26242059455,-,GMV Max Custom ROAS,All,14/11/2025 00:00:00,Unlimited,462042,15101,3.27%,522,457,3.46%,3.03%,10081.39,11515.28,527,462,100246187,87555552,5262485,19.05,16.64,5.25%,6.01%,-,-,-,5516082,42040620
10,Tome Ame - Sora Longsleeve Black [2],Ongoing,Product Ad,25191890012,-,GMV Max Custom ROAS,All,20/05/2025 00:00:00,Unlimited,440940,18155,4.12%,225,168,1.24%,0.93%,15920.48,21322.07,225,168,43520451,32709448,3582108,12.15,9.13,8.23%,10.95%,-,-,-,1383896,10923058
11,Tome Ame - Megumi Longsleeve - Kaos Lengan Panjang Embroidery 24S,Ongoing,Product Ad,42977446067,-,GMV Max Custom ROAS,All,01/01/2026 00:00:00,Unlimited,272291,6470,2.38%,218,174,3.37%,2.69%,15670.48,19633.14,219,175,39833192,31574054,3416166,11.66,9.24,8.58%,10.82%,-,-,-,6139091,32031510
12,Tome Ame - Yumi Boxy Longsleeve Tee Navy - Kaos Lengan Panjang Oversized 24S,Ongoing,Product Ad,41359204077,-,GMV Max Custom ROAS,All,21/07/2025 00:00:00,Unlimited,259896,4947,1.90%,108,63,2.18%,1.27%,20800.08,35657.28,110,63,23133895,14264235,2246408,10.30,6.35,9.71%,15.75%,-,-,-,1526455,8151865
13,TOME AME - HIKAMI T SHIRT LONGSLEEVE BUTTON - KAOS POLOS LENGAN PANJANG 20S,Ongoing,Product Ad,52855158680,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,259769,8209,3.16%,115,82,1.40%,1.00%,19288.07,27050.34,115,82,24147443,17118000,2218128,10.89,7.72,9.19%,12.96%,-,-,-,1743975,9900000
14,TOME AME - REN LONGSLEEVE - KAOS LENGAN PANJANG MOTIF BUNGA,Ongoing,Product Ad,58056371216,-,GMV Max Custom ROAS,All,27/02/2026 00:00:00,Unlimited,246903,7523,3.05%,138,41,1.83%,0.54%,20995.57,70668.03,138,41,29710578,10139700,2897389,10.25,3.50,9.75%,28.57%,-,-,-,1529402,8613600
15,TOME AME - MIKAMI SHIRT - KEMEJA POLOS WANITA LENGAN PANJANG COTTON BORDIR,Ongoing,Product Ad,57854650819,-,GMV Max Custom ROAS,All,18/01/2026 00:00:00,Unlimited,246351,8464,3.44%,133,72,1.57%,0.85%,24536.69,45324.72,135,73,36287600,23848772,3263380,11.12,7.31,8.99%,13.68%,-,-,-,1898092,12781500
16,Tome Ame - Tometo Plaid Button Embroidery  Shirt - Kemeja Lengan Panjang Motif Kotak,Ongoing,Product Ad,41123315274,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,245013,12564,5.13%,87,61,0.69%,0.49%,24387.64,34782.36,87,61,22771690,17590064,2121724,10.73,8.29,9.32%,12.06%,-,-,-,1579361,9639860
17,Tome Ame - Yuma Long Sleeve - Kaos Lengan Penjang 24S Logo Bunga,Ongoing,Product Ad,56502020199,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,241035,13396,5.56%,109,51,0.81%,0.38%,18154.20,38800.16,109,51,19977757,8967282,1978808,10.10,4.53,9.91%,22.07%,-,-,-,1075019,6795919
18,TOME AME - ARIRI T SHIRT LONGSLEEVE - KAOS LENGAN PANJANG MOTIF BUNGA,Ongoing,Product Ad,48456043596,-,GMV Max Custom ROAS,All,11/02/2026 00:00:00,Unlimited,219768,7903,3.60%,110,30,1.39%,0.38%,20069.62,73588.61,111,30,23175095,6917198,2207658,10.50,3.13,9.53%,31.92%,-,-,-,944234,5122813
19,Tome Ame - Rei Boxy Longsleeve Black,Ongoing,Product Ad,29477475746,-,GMV Max Custom ROAS,All,26/02/2025 00:00:00,Unlimited,219149,5531,2.52%,140,92,2.53%,1.66%,17711.24,26951.89,140,92,26337524,17444912,2479574,10.62,7.04,9.41%,14.21%,-,-,-,2260607,12086340
