All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:20
Date Period,01/02/2026 - 28/02/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Tote Bage,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,01/10/2025 00:00:00,Unlimited,443029,12461,2.81%,118,77,0.95%,0.62%,16120.61,24704.31,119,78,25227119,17640848,1902232,13.26,9.27,7.54%,10.78%,-,-,-,0,0
2,Accesories,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,15/10/2025 00:00:00,Unlimited,402122,11241,2.80%,103,54,0.92%,0.48%,15148.15,28893.70,103,54,15589959,4909806,1560260,9.99,3.15,10.01%,31.78%,-,-,-,0,0
3,Skirt & Pants,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,01/10/2025 00:00:00,Unlimited,192923,4637,2.40%,52,22,1.12%,0.47%,16243.30,38393.24,54,24,11041267,4266784,844651,13.07,5.05,7.65%,19.80%,-,-,-,0,0
4,Tome Ame - Megumi Longsleeve - Kaos Lengan Panjang Embroidery 24S,Ended,Product Ad,53154478997,-,GMV Max Custom ROAS,All,21/01/2026 00:00:00,Unlimited,22578,671,2.97%,7,5,1.04%,0.75%,29369.30,41117.02,7,5,1330285,911900,205585,6.47,4.44,15.45%,22.54%,-,-,-,0,0
5,Tome Ame - Cats Are Family Tee,Ended,Product Ad,26719779002,-,GMV Max Custom ROAS,All,05/12/2024 00:00:00,Unlimited,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,Tome Ame - Chiyo Boxy Longsleeve Tee,Ongoing,Product Ad,24986823677,-,GMV Max Custom ROAS,All,07/10/2024 00:00:00,Unlimited,1672071,43480,2.60%,857,692,1.97%,1.59%,15279.26,18922.43,863,697,148219478,117761300,13094322,11.32,8.99,8.83%,11.12%,-,-,-,0,0
7,Tome Ame - Ichi Jersey Tee Black [5],Ongoing,Product Ad,18586944287,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,1475016,43084,2.92%,1101,1015,2.56%,2.36%,12390.90,13440.77,1163,1077,139691747,124017973,13642385,10.24,9.09,9.77%,11.00%,-,-,-,0,0
8,Tome Ame - Navy Juno Longsleeve wanita,Ongoing,Product Ad,26013785840,-,GMV Max Custom ROAS,All,21/10/2024 00:00:00,Unlimited,1074989,28729,2.67%,569,431,1.98%,1.50%,16259.82,21465.98,574,435,100763270,74579665,9251839,10.89,8.06,9.18%,12.41%,-,-,-,0,0
9,Tome Ame - Hitomi Longsleeve Button - T Shirt Lengan Panjang 24S,Ongoing,Product Ad,43623306311,-,GMV Max Custom ROAS,All,19/01/2026 00:00:00,Unlimited,974584,4912,0.50%,77,59,1.57%,1.20%,22494.04,29356.62,77,59,16126307,12143480,1732041,9.31,7.01,10.74%,14.26%,-,-,-,0,0
10,Tome Ame - Summer Time Boxy Longsleeve Tee,Ongoing,Product Ad,26119707569,-,GMV Max Custom ROAS,All,05/12/2024 00:00:00,Unlimited,887567,22266,2.51%,619,515,2.78%,2.31%,16172.36,19438.24,627,520,108637591,87272719,10010691,10.85,8.72,9.21%,11.47%,-,-,-,0,0
11,Tome Ame - Yumi Boxy Longsleeve Tee Navy - Kaos Lengan Panjang Oversized 24S,Ongoing,Product Ad,41359204077,-,GMV Max Custom ROAS,All,21/07/2025 00:00:00,Unlimited,838799,5571,0.66%,124,102,2.23%,1.83%,21194.70,25766.11,124,102,27942018,22942257,2628143,10.63,8.73,9.41%,11.46%,-,-,-,0,0
12,Tome Ame - Kiki Retro Windbreaker Jacket Black - Jaket Windbreaker Wanita,Ongoing,Product Ad,41310208723,-,GMV Max Custom ROAS,All,25/07/2025 00:00:00,Unlimited,596456,28548,4.79%,405,325,1.42%,1.14%,15604.09,19445.09,410,327,149510521,134007552,6319655,23.66,21.20,4.23%,4.72%,-,-,-,0,0
13,Tome Ame - Omi Striped Shirt,Ongoing,Product Ad,28177404480,-,GMV Max Custom ROAS,All,06/03/2025 00:00:00,Unlimited,367140,13311,3.63%,170,110,1.28%,0.83%,19271.49,29783.20,170,110,44876997,31612598,3276152,13.70,9.65,7.30%,10.36%,-,-,-,0,0
