All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:18
Date Period,01/01/2026 - 31/01/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Skirt & Pants,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,01/10/2025 00:00:00,Unlimited,480779,19959,4.15%,195,130,0.98%,0.65%,19321.37,28982.06,196,130,43681634,30183639,3767667,11.59,8.01,8.63%,12.48%,-,-,-,0,0
2,Tote Bage,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,01/10/2025 00:00:00,Unlimited,328611,11174,3.40%,113,55,1.01%,0.49%,16170.57,33223.17,114,55,24326010,12632100,1827274,13.31,6.91,7.51%,14.47%,-,-,-,0,0
3,Accesories,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,15/10/2025 00:00:00,Unlimited,217265,7137,3.28%,95,53,1.33%,0.74%,16118.97,28892.49,96,54,13557815,5719175,1531302,8.85,3.73,11.29%,26.77%,-,-,-,0,0
4,ALL Keychain,Paused,Product Ad,-,-,GMV Max Custom ROAS,-,08/12/2025 00:00:00,Unlimited,7622,221,2.90%,3,1,1.36%,0.45%,21245.32,63735.96,3,1,372920,59500,63736,5.85,0.93,17.09%,107.12%,-,-,-,0,0
5,Tome Ame - Megumi Longsleeve - Kaos Lengan Panjang Embroidery 24S,Ended,Product Ad,53154478997,-,GMV Max Custom ROAS,All,21/01/2026 00:00:00,Unlimited,40127,1037,2.58%,34,23,3.28%,2.22%,17093.77,25269.05,35,23,6570370,4325670,581188,11.31,7.44,8.85%,13.44%,-,-,-,0,0
6,Tome Ame - Shinya Short Sleeve - Kaos Polo Lengan Pendek Motif Polkadot,Ended,Product Ad,48052045202,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,Tome Ame - Chiyo Boxy Longsleeve Tee,Ongoing,Product Ad,24986823677,-,GMV Max Custom ROAS,All,07/10/2024 00:00:00,Unlimited,1943024,51875,2.67%,1072,784,2.07%,1.51%,15281.70,20895.39,1082,792,186826451,133341220,16381983,11.40,8.14,8.77%,12.29%,-,-,-,0,0
8,Tome Ame - Ichi Jersey Tee Black [5],Ongoing,Product Ad,18586944287,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,1680118,54580,3.25%,1285,1155,2.35%,2.12%,11259.87,12527.21,1364,1233,164242207,140859630,14468931,11.35,9.74,8.81%,10.27%,-,-,-,0,0
9,Tome Ame - Summer Time Boxy Longsleeve Tee,Ongoing,Product Ad,26119707569,-,GMV Max Custom ROAS,All,05/12/2024 00:00:00,Unlimited,898278,21399,2.38%,663,509,3.10%,2.38%,15504.68,20195.68,664,509,114530125,85988700,10279600,11.14,8.36,8.98%,11.95%,-,-,-,0,0
10,Tome Ame - Navy Juno Longsleeve wanita,Ongoing,Product Ad,26013785840,-,GMV Max Custom ROAS,All,21/10/2024 00:00:00,Unlimited,841292,25710,3.06%,488,342,1.90%,1.33%,14615.76,20855.23,492,346,86788879,59829868,7132490,12.17,8.39,8.22%,11.92%,-,-,-,0,0
11,Tome Ame - Kimi Longsleeve Black - Kaos Lengan Panjang Hitam 24S,Ongoing,Product Ad,27138609473,-,GMV Max Custom ROAS,All,14/07/2025 00:00:00,Unlimited,315144,11965,3.80%,262,179,2.19%,1.50%,20747.06,30367.21,263,180,50654623,35041315,5435730,9.32,6.45,10.73%,15.51%,-,-,-,0,0
12,Tome Ame - Miki Rugby Shirt [2],Ongoing,Product Ad,28255396034,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,244278,11616,4.76%,208,135,1.79%,1.16%,21588.84,33262.80,208,135,56595848,42272490,4490478,12.60,9.41,7.93%,10.62%,-,-,-,0,0
13,Tome Ame - Yuna Long Sleeve White on White,Ongoing,Product Ad,26477399439,-,GMV Max Custom ROAS,All,06/03/2025 00:00:00,Unlimited,242525,7100,2.93%,123,94,1.73%,1.32%,26146.64,34213.15,126,96,26432767,19847300,3216036,8.22,6.17,12.17%,16.20%,-,-,-,0,0
14,Tome Ame - Hanami Longsleeve Polo Shirt - T Shirt Polo Lengan Panjang Aksen Kancing,Ongoing,Product Ad,43422767923,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,202616,6121,3.02%,111,71,1.81%,1.16%,20303.06,31741.41,111,71,20500478,12981750,2253640,9.10,5.76,10.99%,17.36%,-,-,-,0,0
15,Tome Ame - Omi Striped Shirt,Ongoing,Product Ad,28177404480,-,GMV Max Custom ROAS,All,06/03/2025 00:00:00,Unlimited,169398,7344,4.34%,70,42,0.95%,0.57%,22539.06,37565.10,71,42,19084037,12087048,1577734,12.10,7.66,8.27%,13.05%,-,-,-,0,0
