All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:21
Date Period,01/03/2026 - 31/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Tote Bage,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,01/10/2025 00:00:00,Unlimited,579118,13624,2.35%,117,77,0.86%,0.57%,17474.31,26551.88,118,77,27173814,17789414,2044495,13.29,8.70,7.52%,11.49%,-,-,-,0,0
2,Accesories,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,15/10/2025 00:00:00,Unlimited,494621,12742,2.58%,160,74,1.26%,0.58%,15691.74,33928.09,166,79,27184908,7989297,2510679,10.83,3.18,9.24%,31.43%,-,-,-,0,0
3,Skirt & Pants,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,01/10/2025 00:00:00,Unlimited,303913,7096,2.33%,54,22,0.76%,0.31%,15523.59,38103.37,54,22,10595234,3810454,838274,12.64,4.55,7.91%,22.00%,-,-,-,0,0
4,Tome Ame - Chiyo Boxy Longsleeve Tee,Ongoing,Product Ad,24986823677,-,GMV Max Custom ROAS,All,07/10/2024 00:00:00,Unlimited,2457950,69493,2.83%,1299,1130,1.87%,1.63%,15822.50,18188.87,1314,1144,223791891,190696319,20553422,10.89,9.28,9.18%,10.78%,-,-,-,0,0
5,Tome Ame - Ichi Jersey Tee Black [5],Ongoing,Product Ad,18586944287,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,1305371,36665,2.81%,1027,950,2.80%,2.59%,10297.80,11132.46,1074,995,129308875,114607903,10575836,12.23,10.84,8.18%,9.23%,-,-,-,0,0
6,Tome Ame - Summer Time Boxy Longsleeve Tee,Ongoing,Product Ad,26119707569,-,GMV Max Custom ROAS,All,05/12/2024 00:00:00,Unlimited,1298532,34175,2.63%,1103,906,3.23%,2.65%,15265.13,18584.36,1109,911,188164453,151718580,16837434,11.18,9.01,8.95%,11.10%,-,-,-,0,0
7,Tome Ame - Yumi Boxy Longsleeve Tee Navy - Kaos Lengan Panjang Oversized 24S,Ongoing,Product Ad,41359204077,-,GMV Max Custom ROAS,All,21/07/2025 00:00:00,Unlimited,1217056,8411,0.69%,156,130,1.85%,1.55%,19523.75,23428.50,156,130,34590803,29025865,3045704,11.36,9.53,8.80%,10.49%,-,-,-,0,0
8,Tome Ame - Navy Juno Longsleeve wanita,Ongoing,Product Ad,26013785840,-,GMV Max Custom ROAS,All,21/10/2024 00:00:00,Unlimited,1141671,31016,2.72%,655,502,2.11%,1.62%,14014.33,18285.64,661,507,115169473,87297077,9179389,12.55,9.51,7.97%,10.52%,-,-,-,0,0
9,TOME AME - REN LONGSLEEVE - KAOS LENGAN PANJANG MOTIF BUNGA,Ongoing,Product Ad,58056371216,-,GMV Max Custom ROAS,All,27/02/2026 00:00:00,Unlimited,595869,22592,3.79%,315,205,1.39%,0.91%,14925.07,22933.64,316,205,74703217,50492297,4701396,15.89,10.74,6.29%,9.31%,-,-,-,0,0
10,TOME AME - HARUKO SHIRT - KEMEJA LENGAN PANJANG WANITA MOTIF BUNGA COTTON POPLIN,Ongoing,Product Ad,49705531610,-,GMV Max Custom ROAS,All,08/02/2026 00:00:00,Unlimited,538164,15441,2.87%,188,149,1.22%,0.96%,21541.98,27180.48,189,150,59635819,49645048,4049892,14.73,12.26,6.79%,8.16%,-,-,-,0,0
11,Tome Ame - Hitomi Longsleeve Button - T Shirt Lengan Panjang 24S,Ongoing,Product Ad,43623306311,-,GMV Max Custom ROAS,All,19/01/2026 00:00:00,Unlimited,468946,13308,2.84%,122,83,0.92%,0.62%,18021.30,26489.15,122,83,24791540,17071006,2198599,11.28,7.76,8.87%,12.88%,-,-,-,0,0
12,Tome Ame - Sora Longsleeve Black [2],Ongoing,Product Ad,25191890012,-,GMV Max Custom ROAS,All,20/05/2025 00:00:00,Unlimited,463415,18293,3.95%,308,213,1.68%,1.16%,16811.36,24309.38,311,213,61038795,40871740,5177899,11.79,7.89,8.48%,12.67%,-,-,-,0,0
13,Tome Ame - Megumi Longsleeve - Kaos Lengan Panjang Embroidery 24S,Ongoing,Product Ad,42977446067,-,GMV Max Custom ROAS,All,01/01/2026 00:00:00,Unlimited,436867,17845,4.08%,252,170,1.41%,0.95%,16891.85,25039.69,256,174,47960398,31441090,4256747,11.27,7.39,8.88%,13.54%,-,-,-,0,0
14,Tome Ame - Mina Striped Oversize Tee Black [5],Ongoing,Product Ad,21126944703,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,386274,11708,3.03%,209,165,1.79%,1.41%,12155.53,15397.00,210,165,32221284,23605953,2540506,12.68,9.29,7.88%,10.76%,-,-,-,0,0
15,TOME AME - HIKAMI T SHIRT LONGSLEEVE BUTTON - KAOS POLOS LENGAN PANJANG 20S,Ongoing,Product Ad,52855158680,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,321508,12843,3.99%,197,121,1.53%,0.94%,18606.12,30292.61,199,123,44465244,25492600,3665406,12.13,6.95,8.24%,14.38%,-,-,-,0,0
16,TOME AME - MIKAMI SHIRT - KEMEJA POLOS WANITA LENGAN PANJANG COTTON BORDIR,Ongoing,Product Ad,57854650819,-,GMV Max Custom ROAS,All,18/01/2026 00:00:00,Unlimited,319703,13511,4.23%,133,84,0.98%,0.62%,23058.27,36508.93,134,85,40167679,27631955,3066750,13.10,9.01,7.63%,11.10%,-,-,-,0,0
17,Tome Ame - Yuma Long Sleeve Dark Grey,Ongoing,Product Ad,29213631991,-,GMV Max Custom ROAS,All,21/10/2024 00:00:00,Unlimited,302684,9394,3.10%,179,133,1.91%,1.42%,13722.45,18468.56,180,133,28423886,19360970,2456318,11.57,7.88,8.64%,12.69%,-,-,-,0,0
18,TOME AME - ARIRI T SHIRT LONGSLEEVE - KAOS LENGAN PANJANG MOTIF BUNGA,Ongoing,Product Ad,48456043596,-,GMV Max Custom ROAS,All,11/02/2026 00:00:00,Unlimited,283481,10039,3.54%,147,69,1.46%,0.69%,21082.74,44915.41,147,69,33685385,15764665,3099163,10.87,5.09,9.20%,19.66%,-,-,-,0,0
19,Tome Ame - Yuki Striped Boxy Longsleeve,Ongoing,Product Ad,27827098533,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,281797,8765,3.11%,113,75,1.29%,0.86%,17676.74,26632.96,114,75,24977755,17434731,1997472,12.50,8.73,8.00%,11.46%,-,-,-,0,0
20,TOME AME- CHIRU CARDIGAN - CARDIGAN KNIT WANITA,Ongoing,Product Ad,56056364755,-,GMV Max Custom ROAS,All,27/02/2026 00:00:00,Unlimited,268115,10681,3.98%,139,29,1.30%,0.27%,14794.11,70909.71,141,30,39085716,10710820,2056382,19.01,5.21,5.26%,19.20%,-,-,-,0,0
21,Tome Ame - Kiko Striped Longsleeve,Ongoing,Product Ad,26277097976,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,249665,11689,4.68%,136,94,1.16%,0.80%,17540.17,25377.27,136,94,30863842,21890725,2385464,12.94,9.18,7.73%,10.90%,-,-,-,0,0
22,Tome Ame - Nara Oversize Tee [5],Ongoing,Product Ad,12086672587,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,243510,8697,3.57%,84,57,0.97%,0.66%,13344.03,19664.89,84,57,13039815,8042362,1120899,11.63,7.17,8.60%,13.94%,-,-,-,0,0
23,Tome Ame - Nijiko Longsleeve Brown - Atasan Knit Motfif Garis,Ongoing,Product Ad,45053535595,-,GMV Max Custom ROAS,All,31/12/2025 00:00:00,Unlimited,242683,8657,3.57%,130,71,1.50%,0.82%,22317.49,40863.01,130,71,36749798,24225047,2901274,12.67,8.35,7.89%,11.98%,-,-,-,0,0
